Date,Open,High,Low,Close,Adj Close,Volume
2022-07-22,973.500000,976.500000,967.500000,972.099976,967.400208,977238
2022-07-25,976.000000,979.799988,955.049988,959.799988,955.159668,1024751
2022-07-26,959.950012,962.000000,944.500000,955.700012,951.079529,988405
2022-07-27,956.900024,976.250000,951.799988,974.049988,969.340820,904733
2022-07-28,977.000000,978.950012,964.200012,967.450012,962.772705,1043837
2022-07-29,973.700012,983.950012,953.000000,977.400024,972.674622,2941566
2022-08-01,990.000000,1031.000000,988.299988,1004.549988,999.693359,4647912
2022-08-02,1003.650024,1006.099976,992.000000,1004.200012,999.345032,1184696
2022-08-03,1010.000000,1028.750000,1004.500000,1011.849976,1006.958008,4052763
2022-08-04,1017.799988,1046.900024,1015.000000,1044.500000,1039.450195,2865077
2022-08-05,1040.000000,1045.949951,1032.000000,1034.199951,1029.199951,1561405
2022-08-08,1036.199951,1039.500000,1024.099976,1029.550049,1029.550049,767289
2022-08-10,1035.550049,1046.300049,1029.050049,1038.349976,1038.349976,1293683
2022-08-11,1040.500000,1049.000000,1035.000000,1038.400024,1038.400024,838963
2022-08-12,1043.599976,1043.599976,1022.349976,1027.150024,1027.150024,1140717
2022-08-16,1027.150024,1036.000000,1025.250000,1034.550049,1034.550049,776409
2022-08-17,1039.750000,1042.949951,1024.199951,1025.750000,1025.750000,1102323
2022-08-18,1028.500000,1034.050049,1007.349976,1032.199951,1032.199951,1201720
2022-08-19,1029.050049,1036.599976,1020.099976,1030.099976,1030.099976,654004
2022-08-22,1016.000000,1029.849976,1015.500000,1022.549988,1022.549988,993053
2022-08-23,1010.200012,1046.800049,1010.200012,1040.650024,1040.650024,1868332
2022-08-24,1041.000000,1053.849976,1026.050049,1037.349976,1037.349976,1562062
2022-08-25,1043.949951,1043.949951,1020.549988,1025.750000,1025.750000,1112617
2022-08-26,1030.900024,1035.699951,1018.500000,1020.799988,1020.799988,1264070
2022-08-29,1000.000000,1024.000000,991.299988,1017.299988,1017.299988,1305557
2022-08-30,1018.500000,1042.199951,1016.099976,1038.449951,1038.449951,1571042
2022-09-01,1026.000000,1044.250000,1019.400024,1023.000000,1023.000000,1528731
2022-09-02,1024.000000,1031.199951,1012.049988,1015.599976,1015.599976,1655229
2022-09-05,1012.500000,1030.449951,1012.000000,1025.650024,1025.650024,1275368
2022-09-06,1025.000000,1042.000000,1024.900024,1040.849976,1040.849976,1369910
2022-09-07,1033.849976,1061.849976,1033.000000,1051.500000,1051.500000,2471263
2022-09-08,1058.500000,1059.750000,1044.000000,1056.050049,1056.050049,1755391
2022-09-09,1060.000000,1065.949951,1055.000000,1058.300049,1058.300049,1092235
2022-09-12,1058.300049,1068.500000,1057.099976,1064.750000,1064.750000,936787
2022-09-13,1057.050049,1063.000000,1052.650024,1058.900024,1058.900024,1144685
2022-09-14,1040.000000,1068.000000,1040.000000,1059.949951,1059.949951,998799
2022-09-15,1060.000000,1062.949951,1028.500000,1033.300049,1033.300049,927244
2022-09-16,1038.500000,1060.000000,1034.000000,1043.500000,1043.500000,2850439
2022-09-19,1043.949951,1043.949951,1015.000000,1036.300049,1036.300049,2073673
2022-09-20,1041.500000,1097.550049,1039.500000,1092.300049,1092.300049,2491392
2022-09-21,1100.000000,1101.849976,1064.250000,1070.400024,1070.400024,2283817
2022-09-22,1061.150024,1071.800049,1051.000000,1061.900024,1061.900024,1634304
2022-09-23,1067.250000,1093.000000,1063.250000,1068.099976,1068.099976,3268298
2022-09-26,1065.699951,1081.199951,1050.849976,1065.650024,1065.650024,1219450
2022-09-27,1070.949951,1104.900024,1069.000000,1098.699951,1098.699951,2343041
2022-09-28,1101.000000,1117.699951,1087.650024,1097.150024,1097.150024,3450534
2022-09-29,1100.550049,1121.650024,1088.099976,1115.849976,1115.849976,2093772
2022-09-30,1119.750000,1128.000000,1105.050049,1114.949951,1114.949951,1834565
2022-10-03,1116.800049,1144.900024,1115.000000,1130.750000,1130.750000,2601710
2022-10-04,1138.849976,1147.500000,1133.000000,1144.650024,1144.650024,1911413
2022-10-06,1150.400024,1150.400024,1124.000000,1134.449951,1134.449951,1561938
2022-10-07,1135.000000,1147.199951,1129.050049,1130.500000,1130.500000,1182984
2022-10-10,1110.000000,1131.500000,1110.000000,1118.849976,1118.849976,1583891
2022-10-11,1121.800049,1127.150024,1103.800049,1110.099976,1110.099976,1538943
2022-10-12,1111.599976,1118.050049,1099.199951,1108.449951,1108.449951,1231143
2022-10-13,1108.400024,1127.849976,1101.099976,1103.650024,1103.650024,1438932
2022-10-14,1115.099976,1120.000000,1105.400024,1108.900024,1108.900024,1131139
2022-10-17,1108.000000,1113.050049,1098.800049,1108.150024,1108.150024,1076392
2022-10-18,1113.699951,1130.199951,1110.300049,1125.849976,1125.849976,960283
2022-10-19,1131.500000,1145.000000,1119.099976,1122.000000,1122.000000,1300144
2022-10-20,1122.000000,1142.000000,1117.000000,1136.800049,1136.800049,1633570
2022-10-21,1136.800049,1148.000000,1132.500000,1134.750000,1134.750000,1349759
